BFS_NR,Gebiet,Jahr,Stellen
0,Bezirk Affoltern,2013,256
0,Bezirk Affoltern,2014,319
0,Bezirk Affoltern,2015,191
0,Bezirk Affoltern,2016,253
0,Bezirk Affoltern,2017,262
0,Bezirk Affoltern,2018,182
0,Bezirk Affoltern,2019,271
0,Bezirk Affoltern,2020,224
0,Bezirk Affoltern,2021,239
0,Bezirk Andelfingen,2013,144
0,Bezirk Andelfingen,2014,151
0,Bezirk Andelfingen,2015,144
0,Bezirk Andelfingen,2016,107
0,Bezirk Andelfingen,2017,128
0,Bezirk Andelfingen,2018,109
0,Bezirk Andelfingen,2019,152
0,Bezirk Andelfingen,2020,125
0,Bezirk Andelfingen,2021,160
0,Bezirk Bülach,2013,731
0,Bezirk Bülach,2014,918
0,Bezirk Bülach,2015,833
0,Bezirk Bülach,2016,836
0,Bezirk Bülach,2017,790
0,Bezirk Bülach,2018,904
0,Bezirk Bülach,2019,1028
0,Bezirk Bülach,2020,885
0,Bezirk Bülach,2021,992
0,Bezirk Dielsdorf,2013,443
0,Bezirk Dielsdorf,2014,492
0,Bezirk Dielsdorf,2015,425
0,Bezirk Dielsdorf,2016,516
0,Bezirk Dielsdorf,2017,476
0,Bezirk Dielsdorf,2018,485
0,Bezirk Dielsdorf,2019,577
0,Bezirk Dielsdorf,2020,584
0,Bezirk Dielsdorf,2021,551
0,Bezirk Dietikon,2013,626
0,Bezirk Dietikon,2014,573
0,Bezirk Dietikon,2015,611
0,Bezirk Dietikon,2016,605
0,Bezirk Dietikon,2017,591
0,Bezirk Dietikon,2018,541
0,Bezirk Dietikon,2019,576
0,Bezirk Dietikon,2020,628
0,Bezirk Dietikon,2021,640
0,Bezirk Hinwil,2013,401
0,Bezirk Hinwil,2014,530
0,Bezirk Hinwil,2015,497
0,Bezirk Hinwil,2016,448
0,Bezirk Hinwil,2017,467
0,Bezirk Hinwil,2018,406
0,Bezirk Hinwil,2019,531
0,Bezirk Hinwil,2020,454
0,Bezirk Hinwil,2021,499
0,Bezirk Horgen,2013,645
0,Bezirk Horgen,2014,668
0,Bezirk Horgen,2015,645
0,Bezirk Horgen,2016,593
0,Bezirk Horgen,2017,539
0,Bezirk Horgen,2018,597
0,Bezirk Horgen,2019,677
0,Bezirk Horgen,2020,664
0,Bezirk Horgen,2021,747
0,Bezirk Meilen,2013,721
0,Bezirk Meilen,2014,703
0,Bezirk Meilen,2015,655
0,Bezirk Meilen,2016,560
0,Bezirk Meilen,2017,658
0,Bezirk Meilen,2018,665
0,Bezirk Meilen,2019,612
0,Bezirk Meilen,2020,644
0,Bezirk Meilen,2021,717
0,Bezirk Pfäffikon,2013,317
0,Bezirk Pfäffikon,2014,306
0,Bezirk Pfäffikon,2015,224
0,Bezirk Pfäffikon,2016,267
0,Bezirk Pfäffikon,2017,284
0,Bezirk Pfäffikon,2018,261
0,Bezirk Pfäffikon,2019,321
0,Bezirk Pfäffikon,2020,286
0,Bezirk Pfäffikon,2021,273
0,Bezirk Uster,2013,711
0,Bezirk Uster,2014,819
0,Bezirk Uster,2015,700
0,Bezirk Uster,2016,707
0,Bezirk Uster,2017,793
0,Bezirk Uster,2018,812
0,Bezirk Uster,2019,828
0,Bezirk Uster,2020,806
0,Bezirk Uster,2021,865
0,Bezirk Winterthur,2013,970
0,Bezirk Winterthur,2014,971
0,Bezirk Winterthur,2015,954
0,Bezirk Winterthur,2016,922
0,Bezirk Winterthur,2017,922
0,Bezirk Winterthur,2018,952
0,Bezirk Winterthur,2019,926
0,Bezirk Winterthur,2020,923
0,Bezirk Winterthur,2021,961
0,Bezirk Zürich,2013,4552
0,Bezirk Zürich,2014,4494
0,Bezirk Zürich,2015,4284
0,Bezirk Zürich,2016,4219
0,Bezirk Zürich,2017,4231
0,Bezirk Zürich,2018,4404
0,Bezirk Zürich,2019,4579
0,Bezirk Zürich,2020,4576
0,Bezirk Zürich,2021,4635
